Year,Month,BCEMAN Monthly Sum,OCEMAN Monthly Sum,SO2EMAN Monthly Sum,SO4EMAN Monthly Sum
1984,8,6.2296016631599975e-09,1.2586564387751004e-08,2.772854182653999e-07,1.307357004429e-08
1984,9,6.17022643253e-09,1.2538777269783e-08,2.7707739978579996e-07,1.306451340019e-08
1984,10,6.110846584969999e-09,1.2490991639733998e-08,2.768580717398e-07,1.3055494120640001e-08
1984,11,6.05146727281e-09,1.2443197282221e-08,2.766508516503001e-07,1.3046397298409996e-08
1984,12,5.9920890910400006e-09,1.2395407188419998e-08,2.7644410012720005e-07,1.303738195889e-08
1985,1,5.93173881276e-09,1.2346826880871e-08,2.762306239197e-07,1.30282352313e-08
1985,2,5.8743022949899976e-09,1.2300607665968e-08,2.76034545621e-07,1.3019448145370004e-08
1985,3,5.81687039917e-09,1.2254392385546001e-08,2.7583863948790003e-07,1.30107224457e-08
1985,4,5.757487608989998e-09,1.2206599134605e-08,2.756395527026e-07,1.300161552615e-08
1985,5,5.6981126949799975e-09,1.2158804783505e-08,2.7543797538209995e-07,1.2992602337110004e-08
1985,6,5.638742683499999e-09,1.211101252555e-08,2.7523601702959996e-07,1.2983559979559999e-08
1985,7,5.592486974109999e-09,1.2080190832945996e-08,2.7510003702159987e-07,1.2976618337920004e-08
1985,8,5.562596677799999e-09,1.2070979903836002e-08,2.750167502789999e-07,1.297230504075e-08
1985,9,5.533257435839999e-09,1.206202883654e-08,2.7492830592300003e-07,1.2968091420979995e-08
1985,10,5.503921657640001e-09,1.2053068828042e-08,2.7483009126519997e-07,1.2963836288580001e-08
1985,11,5.47459138783e-09,1.2044114725165e-08,2.7474216649989995e-07,1.295961591215e-08
1985,12,5.445252701890002e-09,1.2035156331328e-08,2.7465599602709995e-07,1.295538886933e-08
1986,1,5.415434211359999e-09,1.2026042844431e-08,2.745638711573e-07,1.295108810689e-08
1986,2,5.38706316765e-09,1.2017372812613996e-08,2.744828357106e-07,1.2947002192349998e-08
1986,3,5.3586963109499996e-09,1.2008720047011002e-08,2.7440215537030004e-07,1.294290075826e-08
1986,4,5.3293615921e-09,1.1999747259901e-08,2.743220305952e-07,1.2938677066220002e-08
1986,5,5.300026953689999e-09,1.1990801249131e-08,2.742405142862e-07,1.2934447208010002e-08
1986,6,5.270687494560001e-09,1.1981830592384998e-08,2.741603506909001e-07,1.2930209889579999e-08
1986,7,5.251864465059999e-09,1.1982038068455002e-08,2.740472987344999e-07,1.2923912095260004e-08
1986,8,5.24683761947e-09,1.1994526940673e-08,2.738603842355e-07,1.291482732976e-08
1986,9,5.241971963250001e-09,1.2006879530273e-08,2.7366917128810004e-07,1.290584950734e-08
1986,10,5.2371067841899995e-09,1.2019254718583005e-08,2.7346900156559995e-07,1.2896864368869998e-08
