Date,Auto Gas,Basic Chemicals,Fuel Oil,Manufacturing,Pave Roof PC,Petrol Coal,Total Population,Profit,Working Population
1980-01-01,80.37829411761402,86.83559326348983,74.15467713616856,46.805148645357825,95.74356155891566,88.80346601828062,67.64565934336392,206320.9719660194,142614000.0
1980-04-01,74.045325464181,85.5765192944329,66.05613538821693,45.293617897948174,89.6707989593453,82.02825438590448,67.83509368050035,179748.2951213592,143142000.0
1980-07-01,73.68124432000295,80.15268691879666,67.45610612563402,43.62177328338902,89.99418829076915,80.13147725942099,68.03825082001202,186485.7592475728,143690000.0
1980-10-01,73.42145900775257,84.30759744436295,70.28921186110028,45.854066376741585,91.4675211553391,80.74874811442268,68.22291200849621,192306.15910194174,144135000.0
1981-01-01,73.73412196998996,86.15239651821452,71.4104564962934,45.59084360797209,83.7386653732624,79.5598322094489,68.36192996299319,177618.80721672165,144625000.0
1981-04-01,71.29333006262802,87.80202849562706,63.96300721810378,46.814049415274425,92.84694827865783,78.38193703032765,68.51675897240077,167683.30965896588,145070300.0
1981-07-01,75.91703710023906,84.36287986732218,66.70088763168162,45.96987639430811,93.19375664579714,80.49780618675996,68.70380673521107,171893.49350935093,145499000.0
1981-10-01,75.88605147094731,79.62728008520654,70.16265119001172,44.96678962730276,85.57843726726257,77.92975664859726,68.88339645325223,169007.37225522552,145925300.0
1982-01-01,69.89628234195223,74.13014814066689,63.583447132266876,43.49256210662222,72.38456582227076,70.90007645628559,69.03017077430913,143241.51533678756,146310700.0
1982-04-01,74.2275344364292,71.27929849514865,67.14397190792042,44.08871367373278,84.6803631672524,75.6460418374305,69.18261320939058,144678.19316062177,146699300.0
1982-07-01,76.71109998422651,69.73687413149102,69.19844908310573,43.10682874068607,95.94778932625788,79.06533224044469,69.35921970952407,140974.4061554404,147069000.0
1982-10-01,74.87800811801033,71.60495001500962,73.86388021849395,42.192949690148204,86.71862286886058,76.78657675591158,69.53105306100532,136089.70155440414,147456000.0
1983-01-01,70.55012402671724,75.88821871696098,57.56596273897776,42.868308108651405,79.52840490823957,70.10118403923379,69.6718609462469,133065.44369477913,147805700.0
1983-04-01,76.63610577999866,80.48236711725383,64.26136363636364,45.06409804448085,92.01063614538744,77.83828462402106,69.81565204939612,147838.59588353414,148146300.0
1983-07-01,78.86819375673248,82.83545114066158,71.23195474053843,46.004079352864025,99.8661154392002,82.01844593989571,69.9871870790866,156569.71544176707,148497000.0
1983-10-01,75.28239303362221,87.70410922419119,69.85929574717129,47.359796622407835,94.75502569349476,77.4656738829461,70.15126406400793,160932.21596385541,148843300.0
1984-01-01,72.73752982787819,89.41618571984513,69.37268337885291,48.69571217910349,89.10093575693567,75.10260984564096,70.28610551343418,160738.3697786333,149449000.0
1984-04-01,76.11507568745154,91.08943023014105,67.77653140850566,50.41126057403966,101.19663810558369,79.82300714280794,70.42840500762958,161594.7026371511,149774700.0
1984-07-01,74.09651911257605,88.43475485071086,69.47815060476005,50.04072852301724,106.7038998721424,81.1748093758825,70.59994003732005,155312.97324350337,150101700.0
1984-10-01,74.86251530336445,88.95255195806368,71.44215762777995,50.29605060837763,98.36408277595933,77.94871229706366,70.77147506701054,156248.4875649663,150473700.0
1985-01-01,68.50091862286838,88.92054634477151,63.58929964884901,50.15003797828512,88.37988201512768,71.82229079562751,70.90303497673837,144311.51135687734,150731300.0
1985-04-01,74.89046972979071,91.77396986828178,66.81769410846664,51.11502144935537,101.0820685092894,79.38118624337895,71.05309083749368,144841.05851301114,151036700.0
1985-07-01,74.54075873253058,87.36715502271306,65.8049648849005,50.46036482155707,106.34079001935802,80.80120676948084,71.23596209523328,147477.4670817844,151343700.0
1985-10-01,71.20026090797997,87.49596083005326,75.12204935622317,50.73718876682833,101.68430508459984,77.41530916579993,71.41435852611137,148505.4115613383,151720700.0
1986-01-01,67.26542278824633,89.51500025319125,64.57935037065938,51.07021757382014,93.05519401781397,71.93866966063052,71.55576305493447,121399.83790145985,152569300.0
1986-04-01,72.31428409443654,90.0352593307973,65.43345200936403,52.063803519004395,106.26490775167213,78.50294460018873,71.70701220285285,119008.92804744527,152888000.0
1986-07-01,72.85125606872072,89.72437963245581,66.13331545064378,51.55075914066567,108.94420615639382,80.3181683553633,71.88421534656788,118783.73770072994,153258000.0
1986-10-01,72.041363569769,90.39549034194248,67.59681037846273,52.238318614560164,99.73467036128741,76.9625777477769,72.05634701983989,123198.58054744525,153645700.0
1987-01-01,70.45548313725004,92.9432938308341,62.26102223956301,52.870773321892344,93.18985347317789,73.44233749595331,72.19655826149993,128538.10954225351,154106700.0
1987-04-01,76.65878366810348,95.18704399345002,64.26904506437769,54.555819078350275,105.44110873062225,80.86666988104504,72.34900069658138,147936.03968309858,154485700.0
1987-07-01,77.78728926825076,98.99649532939063,68.25168259851736,54.76153687293951,108.64618744699506,84.68358807281945,72.52799377104101,158058.79802816903,154825000.0
1987-10-01,77.3298021691063,101.9288138087435,76.36875731564572,56.502087430562746,104.19358588199505,83.46557745159491,72.7072851672914,163388.40079225352,155160000.0
1988-01-01,76.02279240021306,101.92914953195987,70.7313207179087,56.682203010560414,93.12338473945606,79.56126490380973,72.85256787939447,162411.5749112426,155502000.0
1988-04-01,78.08883781998134,104.79768060020596,73.16901580179477,58.27924115435985,106.34503758956131,83.77019031415956,73.00411534910363,171681.41851225696,155839000.0
1988-07-01,80.0990866536699,105.19886984374601,70.54513753413968,57.6155837479942,110.07865179825764,85.74455335064505,73.19444465161236,171204.91918850382,156205700.0
1988-10-01,79.54403972896554,105.34468562738135,73.65501853296918,58.35304753861209,101.37262527103373,83.26588189914658,73.37701758756118,179516.61279797126,156456300.0
1989-01-01,75.49671030289014,107.52643890271104,70.85519898556379,58.21933597256163,87.35713598969105,78.44067749912179,73.52438855219961,171158.97667741936,156816700.0
1989-04-01,78.13666346519253,104.84266751119706,69.5377731174405,59.116013535170794,100.5689161090535,82.24271771099524,73.69055378965629,167809.7119516129,157060000.0
1989-07-01,80.0551903455066,105.8158172076613,72.27162992586813,57.77119720855854,106.77771575432399,85.76549272976492,73.89371092916797,161462.57270967742,157381000.0
1989-10-01,76.70694611363304,110.300296023946,76.35071205618416,57.934511335230496,101.44621155482594,82.46985487081642,74.09537645972581,161565.77822580645,157627700.0
1990-01-01,75.34369069156892,112.688966708287,70.33798283261802,58.11292676816545,89.57149765594394,79.47860945991555,74.26303330613634,158995.2287681714,159447300.0
1990-04-01,75.21323670157975,111.7501726876294,71.25377975029264,59.469544115565995,103.37759320618366,81.48372032152967,74.49423269398002,166119.7070543229,159722300.0
1990-07-01,80.22841797593111,110.76303452381717,74.81052477565353,59.28802841445785,109.41384966184462,86.9009581143538,74.75794915701721,168539.6051109411,160045300.0
1990-10-01,76.29122225396875,110.38176485778064,72.09751755754975,58.26694009031781,97.12000390317263,81.4152816139853,75.02256058542669,168057.0242846213,160454000.0
1991-01-01,73.34927147284462,108.36104681856088,70.77765314085056,56.3938780704531,79.14543479477491,76.39831658412602,75.25405829506114,167507.79919236418,160719700.0
1991-04-01,78.3195460380775,106.87267389273586,71.74856125634022,57.900808419928325,95.17300956133792,82.04445485290775,75.49420733662781,170355.71142437594,161026300.0
1991-07-01,79.6364352829768,105.63016226901892,74.30233125243855,58.25623916468774,101.13441694206516,84.87512828813688,75.76329359189877,173624.2108516887,161364000.0
1991-10-01,77.5717370644821,104.96196116074063,75.85093152555599,58.37184916495277,93.17860315209889,81.24435015601215,76.02283354986524,176792.03781204115,161788700.0
1992-01-01,74.30679477802332,106.33697154717764,66.91913772922356,58.28034124951809,82.92829785799053,75.70775790220483,76.24657489293978,179066.17677833213,162074700.0
1992-04-01,76.36217485437595,107.37077523806272,71.26853296917675,60.388723624593524,102.40248884654075,82.4150818633292,76.50134170225398,187075.73469707769,162369000.0
1992-07-01,74.7284687766458,108.32478871119493,70.81496293406165,60.406925199029715,109.62553937684127,83.24284858211473,76.78385243810942,178440.70153955807,162801000.0
1992-10-01,76.64867965855183,108.2335839040861,75.79240635973468,61.16329062463903,103.68468105196241,81.72044551284259,77.04965715368196,182460.6830220955,163261700.0
1993-01-01,71.76384010741684,106.45301987229647,67.05594030433086,61.3173039467914,91.91317162910103,75.49913556181593,77.2769783582457,176410.86034602075,163609300.0
1993-04-01,73.7181800882529,103.92715030020649,70.42516094420601,62.47340394944163,112.80616586474648,81.91661443301808,77.51175760757857,183983.07406228373,163956000.0
1993-07-01,74.24796698907811,100.63885330378221,73.36080764728834,62.04106655225677,118.23616777328307,84.13056804953816,77.77666735777882,190888.94984083046,164385000.0
1993-10-01,77.41882971993368,102.70332726886645,80.3079886851346,63.30077551708223,108.05520119276363,83.71023756552165,78.02516940948694,201611.50811072663,164864300.0
1994-01-01,70.67923081543285,103.07743483962082,73.00660846664066,63.69650974809321,91.14792019733981,76.05270662138985,78.23488962839546,212421.70400809718,165234000.0
